cell_id,x,y,z,phi0
0,0.0825625,0.335588,0.85496,0.0104165
1,0.780393,0.298299,0.455439,0.041111
2,0.0153137,0.399877,0.94441,0.00570701
3,0.167794,0.75109,0.41815,0.00953421
4,0.83899,0.165125,0.716459,0.021846
5,0.709515,0.336544,0.975423,0.0100092
6,0.263679,0.559319,0.162456,0.011638
7,0.0306273,0.059928,0.711886,0.00565743
8,0.934962,0.029293,0.484787,0.00975418
9,0.844317,0.117182,0.73244,0.0151052
10,0.0719086,0.271664,0.258341,0.0121191
11,0.71647,0.276991,0.807018,0.0236649
12,0.945529,0.900244,0.620574,0.00550995
13,0.860298,0.111855,0.727113,0.0138651
14,0.556661,0.87361,0.189091,0.00804935
15,0.572642,0.857629,0.183764,0.00857228
16,0.374401,0.988379,0.573076,0.00805885
17,0.689835,0.75109,0.524689,0.0154872
18,0.346639,0.0439394,0.624344,0.0648731
19,0.0776327,0.965136,0.374682,0.00499457
20,0.794817,0.0146465,0.747043,0.0107243
21,0.551334,0.857629,0.183764,0.00821292
22,0.00886379,0.60625,0.020508,0.00405002
23,0.253025,0.793705,0.620574,0.0103572
24,0.989046,0.0724629,0.728271,0.00652264
25,0.306295,0.719128,0.769729,0.0130504
26,0.354237,0.213068,0.881595,0.0225173
27,0.978091,0.0605542,0.680652,0.00779301
28,0.125178,0.793705,0.322265,0.00775746
29,0.0306273,0.186973,0.330874,0.0113439
30,0.967266,0.0401183,0.328959,0.00709584
31,0.47143,0.543339,0.924211,0.0126588
32,0.59395,0.857629,0.886922,0.00730758
33,0.934875,0.94286,0.791037,0.00469671
34,0.64722,0.559319,0.769729,0.0188952
35,0.0105085,0.988918,0.574046,0.00377141
36,0.634263,0.220793,0.0279586,0.0136335
37,0.0565461,0.988379,0.141999,0.00347371
38,0.295641,0.687166,0.748421,0.0127676
39,0.989046,0.651301,0.685631,0.00835152
40,0.370218,0.75109,0.141148,0.00963075
41,0.816396,0.965661,0.964316,0.00365416
42,0.306295,0.708474,0.844306,0.0085967
43,0.967137,0.923074,0.854066,0.00382887
44,0.881606,0.846975,0.716459,0.00676302
45,0.408806,0.715814,0.0279586,0.00700503
46,0.978091,0.3598,0.459691,0.013177
47,0.306295,0.687166,0.85496,0.00892611
48,0.306295,0.644551,0.844306,0.00982723
49,0.423487,0.559319,0.492727,0.0379201
50,0.860298,0.719128,0.631228,0.0101092
51,0.924221,0.94286,0.940191,0.00329243
52,0.167794,0.50605,0.428804,0.0151904
53,0.132763,0.300056,0.963134,0.00770249
54,0.322275,0.585954,0.838979,0.0135805
55,0.64722,0.410165,0.85496,0.0193631
56,0.338256,0.644551,0.833652,0.0118661
57,0.269006,0.5753,0.743094,0.0146317
58,0.423487,0.303626,0.897576,0.0211097
59,0.119851,0.4368,0.636555,0.0179126
60,0.205082,0.894918,0.668517,0.0075444
